,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
26,Muravlenko,100,RU,1562802366,91,63.79,74.5,54.17,23.51
27,Sitka,13,US,1562802051,58,37.17,-99.65,88.0,1.99
28,Pouebo,13,NC,1562802367,62,-20.4,164.57,69.47,3.27
29,Arraial do Cabo,0,BR,1562802367,77,-22.97,-42.02,66.2,8.05
30,Fortuna,1,US,1562802064,64,40.6,-124.16,71.6,17.22
31,Sarangani,100,PH,1562802368,78,5.4,125.46,80.63,9.4
32,Pangnirtung,52,CA,1562802368,46,66.15,-65.72,62.45,3.2
33,Muli,97,CN,1562802368,87,28.08,109.56,70.91,2.8
34,Egvekinot,0,RU,1562802368,23,66.32,-179.17,79.37,3.83
35,Saint-Michel-des-Saints,89,CA,1562802372,6,46.68,-73.92,75.0,1.01
36,Yar-Sale,100,RU,1562802175,62,66.83,70.83,55.43,17.18
37,Mataura,90,NZ,1562802069,96,-46.19,168.86,48.99,1.99
38,Ushuaia,40,AR,1562802051,86,-54.81,-68.31,37.4,2.24
39,San Luis,59,AR,1562802372,52,-33.3,-66.34,55.43,6.98
40,Husavik,3,CA,1562802373,32,50.56,-96.99,79.0,3.0
41,Skibbereen,75,IE,1562802373,100,51.55,-9.27,59.0,10.29
42,Mitzic,100,GA,1562802374,98,0.78,11.55,67.49,3.51
43,Mackenzie,90,CA,1562802374,63,55.34,-123.09,64.4,5.82
44,Birao,100,CF,1562802374,89,10.3,22.78,74.33,5.26
45,Kampot,20,KH,1562802375,94,10.62,104.18,77.0,1.12
46,Saint George,75,GR,1562802105,73,39.45,22.34,75.2,20.8
47,Babina,97,IN,1562802375,74,25.24,78.47,81.35,18.52
48,Bedesa,90,ET,1562802375,82,8.9,40.78,66.05,3.74
49,Yellowknife,75,CA,1562801955,59,62.45,-114.38,60.8,10.29
50,Geraldton,75,CA,1562802071,93,49.72,-86.95,64.4,10.29
51,Lebu,98,ET,1562802376,93,8.96,38.73,54.71,1.81
52,Viedma,97,AR,1562802376,64,-40.81,-62.99,48.95,7.29
53,Verkhnyaya Inta,100,RU,1562802376,93,65.99,60.32,56.69,12.28
54,Qaanaaq,100,GL,1562802377,60,77.48,-69.36,44.45,2.51
55,Severo-Kurilsk,100,RU,1562802099,96,50.68,156.12,43.01,19.44
56,Nome,1,US,1562802087,56,30.04,-94.42,95.0,2.19
57,Maceio,22,BR,1562802377,95,-9.67,-35.74,69.11,1.25
58,Darhan,100,MN,1562802378,70,49.49,105.92,67.31,1.19
59,Grootfontein,39,NA,1562802097,60,-19.56,18.1,42.83,3.58
60,Narsaq,17,GL,1562802107,54,60.91,-46.05,55.4,14.99
61,Cape Town,0,ZA,1562801912,100,-33.93,18.42,54.0,2.24
62,Meulaboh,81,ID,1562802331,79,4.14,96.13,81.35,6.35
63,Tornio,0,FI,1562802379,71,61.12,27.27,51.8,5.82
64,Wanning,20,AT,1562802379,67,48.64,13.53,57.2,9.17
65,Tasiilaq,62,GL,1562802087,70,65.61,-37.64,44.6,9.17
66,Georgetown,40,GY,1562802011,78,6.8,-58.16,82.4,11.41
67,Vaini,100,IN,1562802054,86,15.34,74.49,77.93,8.57
68,Ahipara,0,NZ,1562802070,100,-35.17,173.16,62.01,10.04
69,Jos,100,NG,1562802380,93,9.92,8.9,68.21,3.33
70,Bredasdorp,0,ZA,1562802078,87,-34.53,20.04,50.0,1.12
71,Lebanon,20,US,1562802380,58,40.34,-76.42,84.99,6.93
72,Qaqortoq,17,GL,1562802380,54,60.72,-46.03,55.4,14.99
73,Vila Franca do Campo,20,PT,1562802381,82,37.72,-25.43,68.0,1.12
74,Dikson,100,RU,1562802076,96,73.51,80.55,31.67,11.59
75,Khatanga,66,RU,1562802072,58,71.98,102.47,53.09,2.91
76,Hambantota,100,LK,1562802381,81,6.12,81.12,81.53,10.29
77,Ixtapa,40,MX,1562802381,70,20.71,-105.21,87.8,14.99
78,Haines Junction,83,CA,1562802150,27,60.75,-137.51,72.89,2.86
79,Maracaibo,40,CO,1562802382,57,3.41,-75.78,80.6,11.41
80,Hukuntsi,0,BW,1562802382,34,-23.98,21.76,53.09,7.56
81,Hermanus,0,ZA,1562802052,91,-34.42,19.24,53.01,1.86
82,Mongoumba,100,CD,1562802382,99,3.64,18.59,67.49,2.48
83,Puerto Ayora,20,EC,1562802053,57,-0.74,-90.35,78.8,19.46
84,Tirthahalli,100,IN,1562802383,91,13.69,75.25,73.79,3.15
85,Saint-Augustin,75,CA,1562802128,54,45.63,-73.98,86.0,4.7
86,Ust-Kan,31,RU,1562802386,97,50.93,84.77,46.61,1.63
87,Luderitz,0,NA,1562802170,21,-26.65,15.16,71.6,2.24
88,Sola,100,TZ,1562802386,53,-3.17,33.8,70.37,3.65
89,Saint-Philippe,1,CA,1562802050,45,45.36,-73.48,86.0,5.82
90,Muzhi,100,RU,1562802387,97,65.4,64.7,58.67,11.48
91,Sinjai,80,ID,1562802387,80,-5.12,120.25,71.45,4.9
92,Hollister,20,US,1562802150,45,36.85,-121.4,90.0,17.22
93,Kazachinskoye,18,RU,1562802388,94,57.69,93.28,57.41,6.53
94,Ponta Delgada,20,PT,1562802388,82,37.73,-25.67,68.0,1.12
95,Payo,7,ID,1562802388,93,-3.75,103.64,65.69,3.2
96,Ilulissat,20,GL,1562802382,93,69.22,-51.1,42.8,4.7
97,Koslan,100,RU,1562802389,96,63.46,48.9,43.55,10.96
98,Gizo,0,IL,1562802389,78,31.8,34.94,77.0,5.82
99,Keshorai Patan,100,IN,1562802390,67,25.3,75.93,83.15,13.67
100,General Roca,0,AR,1562802390,87,-39.03,-67.58,48.2,3.33
101,Port Elizabeth,1,US,1562802069,61,39.31,-74.98,86.0,6.93
102,Mar del Plata,95,AR,1562801828,82,-46.43,-67.52,42.83,2.24
103,Kapaa,40,US,1562802057,74,22.08,-159.32,84.2,12.75
104,East London,0,ZA,1562802108,86,-33.02,27.91,51.11,2.68
105,Launceston,75,AU,1562802378,81,-41.43,147.14,51.01,16.11
106,Hilo,75,US,1562801960,65,19.71,-155.08,82.4,10.29
107,Vila Velha,75,BR,1562802391,74,-3.71,-38.6,80.6,6.93
108,Barrow,33,AR,1562802051,76,-38.31,-60.23,49.13,4.16
109,Mariental,0,BR,1562802392,58,-25.72,-49.65,59.0,2.24
110,Nikolskoye,75,RU,1562802105,66,59.7,30.79,51.8,6.71
111,Alofi,75,NU,1562802392,83,-19.06,-169.92,80.6,8.05
112,Stelle,100,DE,1562802392,67,53.38,10.12,59.0,3.36
113,Ngunguru,0,NZ,1562802392,87,-35.62,174.5,63.0,5.99
114,Ponta do Sol,0,BR,1562802393,61,-20.63,-46.0,55.43,3.38
115,Chuy,98,UY,1562802056,87,-33.69,-53.46,53.81,5.73
116,Inhambane,0,MZ,1562802393,88,-23.87,35.38,57.23,3.18
117,Esperance,90,AU,1562802393,100,-33.86,121.89,48.2,11.41
118,Cianorte,0,BR,1562802394,52,-23.66,-52.61,68.0,5.82
119,Norman Wells,75,CA,1562802050,33,65.28,-126.83,75.2,8.05
120,Rocha,89,UY,1562802151,83,-34.48,-54.34,52.73,5.32
121,Duekoue,100,CI,1562802394,99,6.74,-7.35,69.29,1.81
122,Mahebourg,40,MU,1562802394,88,-20.41,57.7,69.8,2.24
123,Margate,40,AU,1562802395,61,-43.03,147.26,55.0,11.41
124,Caldararu,49,RO,1562802395,83,44.45,24.95,56.15,8.66
125,Nanortalik,25,GL,1562802395,92,60.14,-45.24,39.77,2.8
126,Bethel,20,US,1562802099,64,60.79,-161.76,73.4,8.05
127,Longhua,100,CN,1562802396,93,29.21,106.21,71.09,10.13
128,Atripalda,0,IT,1562802396,64,40.92,14.83,75.2,6.93
129,Sao Filipe,10,CV,1562802366,85,14.9,-24.5,73.25,18.61
130,Russkaya Polyana,64,RU,1562802397,72,53.78,73.88,60.65,9.35
131,Kahului,40,US,1562801778,55,20.89,-156.47,89.6,23.04
132,Acs,0,HU,1562802397,76,47.71,18.01,57.0,6.24
133,Tarko-Sale,75,RU,1562802398,72,64.92,77.78,59.0,12.77
134,Manggar,99,ID,1562802398,82,-2.88,108.27,78.47,4.83
135,Bachatskiy,0,RU,1562802398,90,54.29,86.13,55.25,5.55
136,Talnakh,0,RU,1562802399,75,69.49,88.39,46.4,11.18
137,Lazarev,100,RU,1562802399,95,52.23,141.51,51.11,19.98
138,Bijar,0,IR,1562802399,78,35.87,47.6,57.59,3.36
139,Vestmannaeyjar,99,IS,1562802072,83,63.44,-20.27,52.55,6.51
140,Kavieng,93,PG,1562802400,73,-2.57,150.8,82.97,9.48
141,Lompoc,1,US,1562802017,72,34.64,-120.46,80.6,14.99
142,Santiago del Estero,38,AR,1562802343,64,-27.8,-64.26,63.17,4.68
143,Huarmey,0,PE,1562802078,84,-10.07,-78.15,62.81,10.8
144,Susangerd,0,IR,1562802401,26,31.56,48.19,95.0,4.7
145,Arman,0,RU,1562802401,55,59.7,150.17,69.47,5.08
146,Avarua,39,CK,1562802401,74,-21.21,-159.78,78.8,11.41
147,Rorvik,91,NO,1562802401,89,64.86,11.24,50.0,9.66
148,Fallon,1,US,1562802402,39,46.84,-105.12,80.6,11.41
149,Hernani,33,ES,1562802402,93,43.27,-1.98,64.4,2.24
150,Portland,1,US,1562801827,68,43.66,-70.25,73.4,4.7
151,Port Alfred,0,ZA,1562802073,91,-33.59,26.89,57.99,5.99
152,Chokurdakh,51,RU,1562802077,50,70.62,147.9,73.79,6.49
153,Fresnillo,40,MX,1562802403,21,23.17,-102.87,80.6,17.22
154,Jutai,38,BR,1562802403,98,-1.71,-47.89,71.81,3.65
155,Aykhal,0,RU,1562802403,52,65.95,111.51,68.0,2.24
156,Columbus,48,US,1562802122,66,32.46,-84.99,93.2,4.7
157,Iqaluit,75,CA,1562802404,66,63.75,-68.52,55.4,5.82
158,Batemans Bay,72,AU,1562802404,38,-35.71,150.18,59.0,5.01
159,Vardo,40,US,1562802079,69,39.62,-77.74,84.2,8.05
160,Sawtell,0,AU,1562802404,51,-30.38,153.1,62.6,9.17
161,Jiaozuo,0,CN,1562802405,64,35.21,113.25,70.01,2.33
162,Dubno,62,UA,1562802405,91,50.42,25.75,54.0,4.0
163,Sangar,74,RU,1562802405,56,63.92,127.47,77.93,7.65
164,Mandalgovi,99,MN,1562802406,43,45.76,106.27,69.83,15.35
165,Qeshm,40,IR,1562802406,79,26.96,56.27,91.4,6.93
166,Pevek,21,RU,1562802066,71,69.7,170.27,47.87,7.36
167,Cayenne,0,GF,1562801946,94,4.94,-52.33,75.2,4.05
168,Tomohon,20,ID,1562802406,94,1.33,124.84,73.4,5.48
169,Coquimbo,0,CL,1562802057,100,-29.95,-71.34,50.0,4.7
170,Lavrentiya,11,RU,1562802407,31,65.58,-170.99,74.15,6.69
171,Omboue,74,GA,1562802407,86,-1.57,9.26,73.07,12.44
172,Voh,0,NC,1562802407,64,-20.95,164.69,70.01,8.46
173,Codrington,0,AU,1562802407,71,-28.95,153.24,64.4,5.82
174,Victoria,75,BN,1562801784,83,5.28,115.24,82.4,3.36
175,Erzin,0,TR,1562802408,74,36.95,36.2,79.0,19.46
176,San Rafael,43,AR,1562802408,56,-34.61,-68.33,50.39,5.55
177,Butaritari,55,KI,1562802098,66,3.07,172.79,84.95,2.84
178,Gat,0,SN,1562802409,78,14.69,-16.54,75.2,9.17
179,Olavarria,55,AR,1562802409,77,-36.89,-60.32,52.0,4.29
180,Airai,72,TL,1562802083,63,-8.93,125.41,76.13,1.28
181,Buzmeyin,75,TM,1562802410,54,38.05,58.21,82.4,6.93
182,Pineville,1,US,1562802410,66,31.32,-92.43,91.4,4.03
183,Fort Nelson,40,CA,1562802410,35,58.81,-122.69,71.6,5.82
184,Abut,31,PH,1562802410,78,16.65,120.37,82.97,13.02
185,Caravelas,46,BR,1562802411,80,-17.73,-39.27,70.37,10.2
186,Tocopilla,97,CL,1562802411,87,-22.09,-70.2,58.85,11.43
187,Beloha,8,MG,1562802411,94,-25.17,45.06,60.29,2.55
188,Kaitangata,38,NZ,1562802058,66,-46.28,169.85,55.99,5.01
189,Cururupu,19,BR,1562802412,98,-1.82,-44.87,71.81,2.08
190,Axim,77,GH,1562802412,88,4.87,-2.24,75.59,8.37
191,Darnah,0,LY,1562802220,64,32.77,22.64,81.89,12.08
192,Klaksvik,99,FO,1562802084,93,62.23,-6.59,51.8,10.29
193,Sao Felix do Xingu,18,BR,1562802252,64,-6.64,-51.99,72.89,3.06
194,Thompson,75,CA,1562802007,33,55.74,-97.86,71.6,5.82
195,Saint Anthony,1,US,1562802413,25,43.97,-111.68,87.8,4.7
196,Sulangan,1,PH,1562802413,71,11.14,123.72,82.43,2.91
197,Freeport,40,BS,1562801902,66,26.54,-78.7,86.0,8.05
198,Pisz,79,PL,1562802414,97,53.63,21.81,48.41,8.59
199,Ylivieska,52,FI,1562802414,82,64.07,24.53,53.01,1.99
200,Leningradskiy,31,RU,1562802063,68,69.38,178.42,44.63,6.26
201,Kalininsk,0,RU,1562802414,86,51.5,44.48,51.65,6.15
202,Arlit,45,NE,1562802415,18,18.74,7.39,97.73,6.02
203,Lorengau,100,PG,1562802415,81,-2.02,147.27,80.09,14.32
204,Bondo,100,CD,1562802415,97,3.81,23.69,68.03,2.62
205,Macamic,75,CA,1562802416,41,48.75,-79.0,78.8,10.29
206,Port-Gentil,75,GA,1562802416,94,-0.72,8.78,75.2,3.36
207,Carnarvon,0,ZA,1562802131,29,-30.97,22.13,53.09,8.97
208,Longyearbyen,75,NO,1562802071,81,78.22,15.63,46.4,4.7
209,Mitrofanovka,19,RU,1562802417,81,49.97,39.69,54.53,4.27
210,Chicama,20,PE,1562802300,82,-7.84,-79.15,66.2,8.05
211,Swellendam,0,ZA,1562802418,87,-34.02,20.44,50.0,1.12
212,Jingdezhen,10,CN,1562802418,90,29.29,117.2,75.05,1.25
213,Sanbu,5,CN,1562802418,74,33.46,119.15,75.59,3.15
214,Tuatapere,65,NZ,1562802157,96,-46.13,167.69,48.99,1.99
215,Castro,90,CL,1562802069,93,-42.48,-73.76,46.4,9.17
216,Katsuura,90,JP,1562802419,94,33.93,134.5,75.2,20.8
217,Alta Gracia,0,AR,1562802419,66,-31.66,-64.43,61.0,4.7
218,Kluczbork,96,PL,1562802419,72,50.97,18.21,53.01,6.17
219,Hithadhoo,100,MV,1562802079,73,-0.6,73.08,84.23,9.15
220,Sobolevo,82,RU,1562802420,97,54.43,31.9,48.41,5.03
221,Salinopolis,88,BR,1562802420,77,-0.61,-47.36,81.17,16.08
222,Zabol,0,IR,1562802420,10,31.03,61.49,92.69,34.4
223,Saint-Ambroise,75,CA,1562802420,49,48.56,-71.32,75.99,11.41
224,Kirkenes,81,NO,1562802421,86,69.73,30.05,41.0,6.93
225,Miura,75,JP,1562802421,72,35.17,139.64,73.0,6.93
226,Atar,29,MR,1562802107,11,20.52,-13.05,91.97,9.35
227,Aksu,0,KZ,1562802421,87,52.04,76.93,51.8,6.71
228,Cairns,75,AU,1562802421,83,-16.92,145.77,75.0,12.75
229,Tura,98,RU,1562802422,69,64.27,100.22,65.51,2.86
230,High Level,40,CA,1562802422,33,58.52,-117.13,71.6,4.7
231,Flinders,0,AU,1562802422,41,-34.58,150.85,62.01,17.22
232,Mayumba,28,GA,1562802422,90,-3.44,10.65,72.53,4.5
233,Ilebo,94,CD,1562802423,53,-4.33,20.59,76.31,1.23
234,Belmonte,0,PT,1562802370,56,40.36,-7.35,73.0,0.96
235,Omsukchan,36,RU,1562802124,31,62.53,155.8,70.01,3.02
236,Hobyo,82,SO,1562802133,77,5.35,48.53,77.21,23.13
237,Nantucket,1,US,1562802220,83,41.28,-70.1,78.8,10.29
238,Keti Bandar,100,PK,1562802424,82,24.14,67.45,83.51,21.81
239,Tarauaca,73,BR,1562802424,74,-8.16,-70.77,75.95,0.92
240,San Cristobal,29,HN,1562802125,61,14.68,-86.92,75.95,5.86
241,Dunedin,68,NZ,1562801972,58,-45.87,170.5,57.0,4.0
242,Sinnamary,63,GF,1562802424,78,5.38,-52.96,81.17,9.66
243,Zapolyarnyy,54,RU,1562802425,86,69.43,30.82,41.0,6.93
244,Padang,70,ID,1562802425,76,-0.92,100.36,82.43,4.88
245,Ostrovnoy,100,RU,1562802425,92,68.05,39.51,39.41,18.21
246,Ranfurly,95,CA,1562802426,83,53.41,-111.68,69.65,9.71
247,Byron Bay,0,AU,1562802131,59,-28.65,153.62,66.99,8.05
248,Udachnyy,0,RU,1562802426,52,66.42,112.4,68.0,2.24
249,Stephenville,75,CA,1562802426,87,48.55,-58.59,50.0,9.17
250,Nekhayevskiy,18,RU,1562802427,83,50.41,41.76,53.01,1.99
251,Kattivakkam,75,IN,1562802427,66,13.22,80.32,86.0,8.05
252,Faanui,66,PF,1562802427,70,-16.48,-151.75,77.39,2.04
253,Tabou,87,CI,1562802428,83,4.42,-7.36,73.07,2.51
254,Riyadh,0,SA,1562802186,13,24.63,46.72,86.0,5.82
255,Kieta,100,PG,1562802428,72,-6.22,155.63,79.91,8.77
256,Hat Yai,75,TH,1562802428,100,7.0,100.46,77.0,4.7
257,Farmington,1,US,1562802428,5,36.73,-108.21,95.0,8.05
258,Wilmington,1,US,1562802420,54,39.75,-75.55,84.99,6.93
259,Haapiti,20,PF,1562802429,65,-17.57,-149.87,82.4,23.04
260,Dudinka,0,RU,1562802151,75,69.41,86.18,46.4,11.18
261,San Patricio,78,PY,1562802298,83,-26.98,-56.83,66.59,6.53
262,Brewster,1,US,1562802291,69,41.76,-70.08,80.01,5.82
263,Provideniya,0,RU,1562802430,47,64.42,-173.23,75.2,8.95
264,Palmerston North,51,NZ,1562802430,75,-40.35,175.62,57.99,4.0
265,Mantua,40,IT,1562802431,64,45.16,10.79,73.4,3.36
266,Sechura,10,PE,1562802176,86,-5.56,-80.82,64.79,14.29
267,Meadow Lake,75,CA,1562802431,82,54.13,-108.44,64.4,9.17
268,Mananum,13,PH,1562802431,84,8.83,124.95,79.0,5.01
269,Bandarbeyla,6,SO,1562802432,65,9.49,50.81,78.47,27.94
270,Miyang,100,CN,1562802432,98,24.4,103.44,62.81,4.99
271,Iskateley,100,RU,1562802432,96,67.68,53.15,39.41,26.15
272,Anito,38,PH,1562802433,78,12.45,125.29,82.79,3.24
273,Seddon,75,AU,1562802433,71,-37.81,144.89,54.0,18.34
274,Balkhash,0,KZ,1562802434,35,46.84,74.98,71.09,16.69
275,Labuhan,95,ID,1562802434,88,-2.54,115.51,73.97,0.58
276,Iwanai,83,JP,1562802434,65,42.97,140.51,71.09,3.98
277,Gigmoto,10,PH,1562802434,74,13.78,124.39,84.05,8.34
278,Gorontalo,71,ID,1562802196,86,0.54,123.06,76.31,0.78
279,Slave Lake,90,CA,1562802275,87,55.28,-114.77,59.0,5.82
280,Westport,20,US,1562802435,61,41.14,-73.36,82.99,5.82
281,Taoudenni,1,ML,1562802436,23,22.68,-3.98,97.19,16.96
282,Boddam,90,GB,1562802436,100,57.47,-1.78,59.0,2.24
283,Asyut,0,EG,1562802436,37,27.18,31.19,82.4,11.41
284,Nyrob,35,RU,1562802437,97,60.74,56.73,52.73,7.09
285,Van Wert,75,US,1562802437,58,40.86,-84.58,93.2,12.75
286,Villa Bruzual,87,VE,1562802438,97,9.33,-69.12,66.77,1.05
287,Klyuchi,2,RU,1562802438,82,52.25,79.17,57.77,6.17
288,Tuktoyaktuk,90,CA,1562802438,93,69.44,-133.03,44.6,14.99
289,Port Macquarie,0,AU,1562802135,48,-31.43,152.91,64.99,6.93
290,Maniitsoq,94,GL,1562802439,92,65.42,-52.9,41.39,4.61
291,Lubango,52,AO,1562802439,75,-14.92,13.49,53.99,1.41
292,Colmenar Viejo,0,ES,1562802439,33,40.66,-3.77,82.0,1.12
293,Kavaratti,100,IN,1562802111,76,10.57,72.64,84.05,13.73
294,Namibe,79,AO,1562802440,80,-15.19,12.15,66.95,9.37
295,Jalu,0,LY,1562802440,30,29.03,21.55,84.41,8.57
296,Nouakchott,71,MR,1562802440,78,18.08,-15.98,75.2,11.41
297,Kota Belud,75,MY,1562802441,83,6.35,116.43,79.0,6.93
298,Guaruja,0,BR,1562802441,45,-23.99,-46.26,64.4,5.82
299,Los Llanos de Aridane,0,ES,1562802120,68,28.66,-17.92,71.6,12.75
300,Hamilton,20,CA,1562802131,51,43.26,-79.87,84.2,9.17
301,Wenatchee,1,US,1562802437,39,47.42,-120.31,87.8,8.05
302,Gold Coast,0,AU,1562802442,67,-28.0,153.41,66.99,10.29
303,Umm Lajj,0,SA,1562802442,73,25.02,37.27,84.77,11.05
304,Isangel,75,VU,1562802442,69,-19.55,169.27,78.8,11.41
305,Iquique,90,CL,1562802443,72,-20.22,-70.14,60.8,6.93
306,Antofagasta,90,CL,1562802443,71,-23.65,-70.4,57.2,9.17
307,Nizwa,52,OM,1562802443,21,22.93,57.53,79.55,4.18
308,Turukhansk,0,RU,1562802444,61,65.8,87.96,53.09,13.33
309,Cidreira,100,BR,1562802444,71,-30.17,-50.22,58.85,2.46
310,Noumea,0,NC,1562802220,53,-22.28,166.46,73.4,2.24
311,Moron,86,HT,1562802444,77,18.56,-74.26,82.79,2.28
312,Beringovskiy,0,RU,1562802150,45,63.05,179.32,68.39,6.89
313,Ancud,90,CL,1562802166,93,-41.87,-73.83,46.4,9.17
314,Veraval,0,FR,1562802445,72,49.65,0.71,66.99,3.36
315,Madarounfa,67,NE,1562802445,41,13.3,7.16,86.39,6.02
316,Awbari,0,LY,1562802446,10,26.59,12.77,86.57,8.03
317,Lazaro Cardenas,75,MX,1562802202,30,28.39,-105.62,88.0,9.17
318,Kaeo,3,NZ,1562802120,100,-35.1,173.78,63.0,5.03
319,Wajir,14,KE,1562802446,66,1.75,40.07,74.69,16.2
320,Yarmouth,75,CA,1562802446,67,43.84,-66.12,62.6,5.82
321,Haacht,0,BE,1562802446,82,50.98,4.64,64.99,4.7
322,Ankang,85,CN,1562802447,72,32.73,108.99,69.29,2.59
323,Cabo San Lucas,5,MX,1562802155,45,22.89,-109.91,93.0,6.93
324,Pando,0,UY,1562802447,81,-34.72,-55.96,55.0,3.36
325,Puri,32,ID,1562802448,80,-7.54,112.45,71.63,7.78
326,Nioro,68,GM,1562802448,71,13.79,-15.05,80.45,11.86
327,Batagay-Alyta,0,RU,1562802448,41,67.8,130.41,68.57,6.22
328,Utete,0,TZ,1562802448,88,-7.99,38.76,68.03,2.1
329,Jardim,0,BR,1562802449,57,-21.48,-56.15,63.53,1.7
330,Auki,66,NG,1562802126,71,12.18,6.51,76.67,11.03
331,Turinsk,57,RU,1562802449,96,58.04,63.7,62.45,8.72
332,Pingliang,97,CN,1562802449,53,35.54,106.68,62.63,0.78
333,Balgazyn,65,RU,1562802450,87,51.0,95.2,56.33,6.13
334,Bodden Town,20,KY,1562802450,70,19.28,-81.25,87.8,12.75
335,Port Lincoln,69,AU,1562802450,77,-34.72,135.86,59.03,28.3
336,Umm Kaddadah,100,SD,1562802135,48,13.6,26.69,85.67,16.69
337,Kudat,75,MY,1562802451,83,6.89,116.84,80.6,3.36
338,Fairbanks,90,US,1562802160,50,64.84,-147.72,79.0,6.8
339,Neustrelitz,21,DE,1562802451,78,53.36,13.06,55.0,1.99
340,Huangnihe,92,CN,1562802451,73,43.56,128.02,62.81,6.26
341,Homer,75,US,1562802410,77,59.64,-151.54,64.99,9.17
342,Winslow,100,GB,1562802307,63,51.94,-0.88,66.2,4.7
343,Pitsunda,82,GE,1562802452,77,43.16,40.34,69.8,4.47
344,Shimoda,75,JP,1562802453,83,34.7,138.93,72.0,13.87
345,Morgan City,75,US,1562802453,88,29.7,-91.21,79.0,6.93
346,Upington,0,ZA,1562802453,43,-28.46,21.24,50.0,2.24
347,Torbay,90,CA,1562801868,93,47.66,-52.73,48.99,5.82
348,Richards Bay,9,ZA,1562802454,78,-28.77,32.06,70.73,9.62
349,Marsh Harbour,30,BS,1562802454,76,26.54,-77.06,84.05,9.66
350,Yasothon,20,TH,1562802454,83,15.8,104.15,78.8,5.82
351,Aviles,0,ES,1562802253,93,43.55,-5.92,64.0,1.12
352,Reconquista,6,AR,1562802455,85,-29.14,-59.64,65.87,4.41
353,Zhigansk,40,RU,1562802168,40,66.77,123.37,77.93,3.04
354,Eberswalde,0,DE,1562802455,93,52.84,13.8,59.0,1.12
355,Itumba,6,TZ,1562802455,97,-9.4,33.18,53.63,6.22
356,Lasem,45,ID,1562802456,79,-6.99,112.52,71.63,4.68
357,Lagoa,0,PT,1562802453,64,37.14,-8.45,75.0,4.7
358,Kodiak,40,US,1562802456,11,39.95,-94.76,87.8,18.34
359,Nanakuli,75,US,1562802456,62,21.39,-158.15,89.6,10.29
360,Bozuyuk,20,TR,1562802457,88,39.91,30.04,66.2,3.36
361,Dongsheng,64,CN,1562802457,73,29.72,112.52,76.31,2.26
362,Nyurba,98,RU,1562802457,55,63.29,118.35,75.59,1.72
363,Jacmel,40,HT,1562802458,49,18.24,-72.54,89.6,19.46
364,Clyde River,20,CA,1562802458,66,70.47,-68.59,53.6,11.41
365,Merauke,83,ID,1562802459,78,-8.49,140.4,75.77,18.03
366,Poum,83,MK,1562802459,92,41.28,20.71,48.77,6.29
367,Dingle,0,PH,1562802134,75,11.0,122.67,81.17,2.15
368,Hovd,0,NO,1562802459,87,63.83,10.7,53.01,3.36
369,Bereda,0,ES,1562802460,88,43.27,-7.54,63.0,2.24
370,Matamoros,75,US,1562802460,44,25.87,-97.51,95.0,13.87
371,Zhuravky,94,UA,1562802460,61,45.13,35.22,62.45,6.62
372,Villamontes,0,BO,1562802461,62,-21.26,-63.47,68.21,4.18
373,Kaiserslautern,20,DE,1562802461,67,49.44,7.77,66.0,0.54
374,Saint-Georges,93,CA,1562802461,51,46.12,-70.67,68.0,4.61
